PLAYER,POS,TEAM,OPP,SAL,FPTS,VAL,RST%,TM Score,Win %,O/U,SPRD,Home?,PRECIP %,PRECIP,TEMP,WIND,1+ TD,O/U PSYD,O/U RUYD
Jayden Daniels,QB,WAS,NYG,7000,22.88,3.27,8.5,25.75,70.2,45.5,-6.0,Yes,3.2,precipitation,84.6,2.7 SSE,170,223.5,44.5
Joe Burrow,QB,CIN,CLE,6900,21.14,3.06,7.0,26.5,67.8,47.5,-5.5,No,3.2,precipitation,73.3,9.6 NE,425,266.5,
Christian McCaffrey,RB/FLEX,SF,SEA,7300,20.83,2.85,18.9,23.25,55.3,44.0,-2.5,No,25.8,precipitation,64.5,4.9 SSE,-165,,73.5
De'Von Achane,RB/FLEX,MIA,IND,6900,20.49,2.97,17.6,22.75,47.3,47.0,1.5,No,0,rain,-, N,-150,,62.5
Ja'Marr Chase,WR/FLEX,CIN,CLE,8100,20.46,2.53,15.0,26.5,67.8,47.5,-5.5,No,3.2,precipitation,73.3,9.6 NE,-130,,
Jahmyr Gibbs,RB/FLEX,DET,GB,7700,20.09,2.61,12.5,22.25,44,47.0,2.5,No,3.2,precipitation,74.9,10.5 SE,-105,,64.5
Bijan Robinson,RB/FLEX,ATL,TB,8000,19.88,2.49,14.0,22.25,44.9,46.5,2.0,Yes,0,rain,-, N,-165,,80.5
Baker Mayfield,QB,TB,ATL,6600,19.85,3.01,6.0,24.25,55.1,46.5,-2.0,No,0,rain,-, N,550,240.5,11.5
Brock Purdy,QB,SF,SEA,6200,19.25,3.1,5.5,23.25,55.3,44.0,-2.5,No,25.8,precipitation,64.5,4.9 SSE,500,244.5,10.5
Russell Wilson,QB,NYG,WAS,5000,18.51,3.7,4.9,19.75,29.8,45.5,6.0,No,3.2,precipitation,84.6,2.7 SSE,700,219.5,
Kyler Murray,QB,ARI,NO,6400,18.48,2.89,4.9,24.5,70.8,42.5,-6.5,No,0,rain,-, N,220,221.5,27.5
Chase Brown,RB/FLEX,CIN,CLE,6600,18.48,2.8,15.1,26.5,67.8,47.5,-5.5,No,3.2,precipitation,73.3,9.6 NE,-160,,66.5
Jared Goff,QB,DET,GB,6500,18.45,2.84,4.2,22.25,44,47.0,2.5,No,3.2,precipitation,74.9,10.5 SE,1200,238.5,
Ashton Jeanty,RB/FLEX,LV,NE,7000,18.35,2.62,12.3,20,43.1,42.5,2.5,No,3.2,precipitation,75.6,4.7 NNW,-110,,71.5
