TEAM,OPP,PLAYER,POS,SAL,SIMS,FPTS_mean,FPTS_p10,FPTS_p25,FPTS_p50,FPTS_p75,FPTS_p90,FPTS_std,Boom%,Diff_vs_PROJ,OPP_csv,POS_csv,SAL_csv,PROJ,FPTS,VAL,RST%
MIA,IND,Quinn Ewers,QB,4000,10000,16.27,8.67,11.63,15.43,19.87,24.86,6.36,15.7,16.27,IND,QB,4000,0.0,0.0,0.0,0.0
MIA,IND,Zach Wilson,QB,4300,10000,16.27,8.68,11.51,15.4,20.07,24.88,6.36,16.3,16.27,IND,QB,4300,0.0,0.0,0.0,0.0
MIA,IND,Theo Wease,WR,3000,10000,2.78,0.0,0.6,2.06,4.03,6.28,2.79,13.1,2.78,IND,WR,3000,0.0,0.0,0.0,0.0
MIA,IND,Tanner Conner,TE,2500,10000,2.78,0.0,0.63,2.08,3.97,6.3,2.74,13.5,2.78,IND,TE,2500,0.0,0.0,0.0,0.0
MIA,IND,Tahj Washington,WR,3000,10000,2.77,0.0,0.64,2.05,3.98,6.31,2.71,13.8,2.77,IND,WR,3000,0.0,0.0,0.0,0.0
MIA,IND,Erik Ezukanma,WR,3000,10000,2.76,0.0,0.6,2.05,3.97,6.34,2.74,13.3,2.76,IND,WR,3000,0.0,0.0,0.0,0.0
MIA,IND,AJ Henning,WR,3000,10000,2.75,0.0,0.6,2.02,3.9,6.29,2.78,13.0,2.75,IND,WR,3000,0.0,0.0,0.0,0.0
MIA,IND,Alexander Mattison,RB,4400,10000,2.74,0.0,0.61,2.03,3.93,6.29,2.7,13.8,2.74,IND,RB,4400,0.0,0.0,0.0,0.0
MIA,IND,Hayden Rucci,TE,2500,10000,2.73,0.0,0.56,2.03,3.9,6.3,2.73,13.6,2.73,IND,TE,2500,0.0,0.0,0.0,0.0
MIA,IND,Andrew Armstrong,WR,3000,10000,2.72,0.0,0.6,2.04,3.9,6.23,2.66,13.8,2.72,IND,WR,3000,0.0,0.0,0.0,0.0
MIA,IND,Jalin Conyers,TE,2500,10000,2.71,0.0,0.6,2.01,3.9,6.13,2.7,13.6,2.71,IND,TE,2500,0.0,0.0,0.0,0.0
MIA,IND,Dee Eskridge,WR,3000,10000,2.71,0.0,0.57,1.99,3.94,6.19,2.7,13.6,2.71,IND,WR,3000,0.0,0.0,0.0,0.0
MIA,IND,Pharaoh Brown,TE,2500,10000,2.72,0.0,0.6,2.01,3.9,6.34,2.69,13.9,2.43,IND,TE,2500,0.29,0.29,0.1,0.0
MIA,IND,Julian Hill,TE,2700,10000,2.72,0.0,0.62,2.07,3.9,6.1,2.62,13.8,1.84,IND,TE,2700,0.88,0.88,0.3,0.0
MIA,IND,Alec Ingold,RB,4000,10000,2.77,0.0,0.63,2.07,3.98,6.35,2.72,13.8,1.7,IND,RB,4000,1.07,1.07,0.3,0.0
MIA,IND,Ollie Gordon,RB,4200,10000,2.73,0.0,0.59,2.01,3.91,6.21,2.73,13.5,1.49,IND,RB,4200,1.24,1.24,0.3,0.0
MIA,IND,Tua Tagovailoa,QB,5800,10000,16.19,8.62,11.51,15.33,19.86,24.85,6.3,16.1,0.94,IND,QB,5800,15.25,15.25,2.6,5.01
MIA,IND,Nick Westbrook-Ikhine,WR,3500,10000,2.79,0.0,0.68,2.07,3.99,6.3,2.72,13.6,-1.95,IND,WR,3500,4.74,4.74,1.4,0.14
MIA,IND,Malik Washington,WR,3200,10000,2.8,0.0,0.63,2.11,4.03,6.4,2.74,13.5,-2.19,IND,WR,3200,4.99,4.99,1.6,0.0
MIA,IND,Jaylen Wright,RB,4900,10000,2.73,0.0,0.6,2.02,3.98,6.16,2.71,13.3,-2.42,IND,RB,4900,5.15,5.15,1.1,0.0
MIA,IND,Miami Dolphins,D,2700,10000,2.72,0.0,0.61,2.06,3.9,6.07,2.67,13.2,-3.24,IND,D,2700,5.96,5.96,2.2,1.67
MIA,IND,Darren Waller,TE,3500,10000,2.8,0.0,0.6,2.07,4.0,6.4,2.79,13.3,-3.38,IND,TE,3500,6.18,6.18,1.8,0.0
MIA,IND,Jaylen Waddle,WR,5700,10000,2.8,0.0,0.7,2.09,4.03,6.5,2.72,13.6,-7.9,IND,WR,5700,10.7,10.7,1.9,9.51
MIA,IND,Tyreek Hill,WR,6700,10000,2.75,0.0,0.6,2.02,3.92,6.36,2.72,14.0,-11.8,IND,WR,6700,14.55,14.55,2.2,20.66
MIA,IND,De'Von Achane,RB,6900,10000,2.76,0.0,0.6,2.06,3.97,6.17,2.74,13.6,-14.26,IND,RB,6900,17.02,17.02,2.5,7.81
